Fecha,ET,EH,ER,EHr,IEAM_C,VPD,EVPTRNS,Cluster_IEAM,Escenario_Simulado
2017-09-01,0.0666666666666666,0.6666666666666666,0.1333333333333333,0.0666666666666666,0.4966666666666666,0.7333333333333333,0.6,0,Favorable
2017-10-01,0.0967741935483871,0.7096774193548387,0.032258064516129,0.0,0.5080645161290323,0.6774193548387096,0.7419354838709677,0,Favorable
2017-11-01,0.1,0.6,0.0,0.0,0.51,1.0,0.5,0,Favorable
2017-12-01,0.5806451612903226,0.8064516129032258,0.064516129032258,0.0,0.5903225806451613,0.6774193548387096,0.7741935483870968,3,Crítico
2018-01-01,0.5161290322580645,0.8064516129032258,0.0,0.0,0.4951612903225807,0.5806451612903226,0.4838709677419355,3,Crítico
2018-02-01,0.25,0.8571428571428571,0.25,0.3571428571428571,0.4607142857142857,0.0714285714285714,0.7142857142857143,1,Riesgo
2018-03-01,0.032258064516129,0.7096774193548387,0.1612903225806451,0.1935483870967742,0.3983870967741935,0.2903225806451613,0.5483870967741935,2,Optimo
2018-04-01,0.0689655172413793,0.4827586206896552,0.0,0.0,0.4827586206896552,0.896551724137931,0.6551724137931034,0,Favorable
2018-05-01,0.0,0.5161290322580645,0.0,0.0,0.4725806451612903,0.935483870967742,0.5483870967741935,0,Favorable
2018-06-01,0.2333333333333333,0.6333333333333333,0.0333333333333333,0.0,0.4016666666666666,0.3333333333333333,0.6666666666666666,2,Optimo
2018-07-01,0.2903225806451613,0.7419354838709677,0.1290322580645161,0.1290322580645161,0.3983870967741936,0.1935483870967742,0.5483870967741935,2,Optimo
2018-08-01,0.3548387096774194,0.7741935483870968,0.4193548387096774,0.3225806451612903,0.3903225806451613,0.064516129032258,0.3548387096774194,2,Optimo
2018-09-01,0.1,0.6,0.1666666666666666,0.1333333333333333,0.4033333333333333,0.4,0.5666666666666667,2,Optimo
2018-10-01,0.032258064516129,0.6129032258064516,0.032258064516129,0.0,0.5193548387096775,1.0,0.5483870967741935,0,Favorable
2018-11-01,0.0333333333333333,0.6,0.0,0.0,0.5233333333333333,1.0,0.6,0,Favorable
2018-12-01,0.6774193548387096,0.935483870967742,0.064516129032258,0.1935483870967742,0.582258064516129,0.3225806451612903,0.8709677419354839,3,Crítico
2019-01-01,0.1290322580645161,0.7741935483870968,0.2258064516129032,0.4838709677419355,0.4806451612903226,0.1935483870967742,0.7741935483870968,1,Riesgo
