Fecha,PRECIPITACIÓN,TMAX,TMIN,TPROM,HR,RAD_SOL,EVPTRNS,VDL
2018-01-01,65.0,24.66032258064516,14.889677419354838,19.775,79.15709677419355,17.634516129032257,129.14000000000001,0.4875222315190017
2018-02-01,58.0,26.263214285714287,15.545714285714284,20.904464285714287,71.07071428571429,20.177857142857142,68.77,0.716714957494364
2018-03-01,169.0,26.30322580645161,16.180967741935483,21.24209677419355,75.9716129032258,18.010645161290324,84.58,0.6137165738737466
2018-04-01,347.0,23.278275862068966,16.160689655172416,19.71948275862069,85.07655172413793,16.982413793103447,95.39,0.346588802187168
2018-05-01,219.0,23.64483870967742,16.443870967741937,20.044354838709676,84.23838709677419,17.899032258064516,117.71000000000001,0.37206483279756297
2018-06-01,147.0,25.105,15.584666666666667,20.344833333333334,77.701,18.154666666666667,169.7,0.5335915023029927
2018-07-01,133.0,25.63741935483871,15.455806451612903,20.546612903225807,75.45161290322581,18.94483870967742,146.67,0.5973436136372529
2018-08-01,89.0,26.307096774193546,15.24741935483871,20.77725806451613,72.49290322580644,21.095806451612905,114.76,0.6793139579326096
2018-09-01,127.0,25.369000000000003,16.221666666666668,20.795333333333335,77.61466666666666,19.51033333333333,98.45,0.5573720747107846
2018-10-01,252.0,23.02548387096774,16.42838709677419,19.726935483870967,87.18774193548387,18.485806451612902,110.39,0.2992983659305461
2018-11-01,108.0,23.5,16.351000000000003,19.9255,84.54966666666668,16.45733333333333,123.35,0.3611723957556964
2018-12-01,6.0,25.64483870967742,14.069354838709677,19.85709677419355,75.13709677419355,20.11709677419355,196.13,0.5787318694010589
2019-01-01,116.0,27.323548387096775,15.90709677419355,21.615322580645163,72.11258064516129,18.281290322580645,70.08,0.7298951208263292
2019-02-01,196.0,28.508214285714285,16.329642857142858,22.418928571428573,67.69321428571429,17.887857142857143,38.98,0.8757158615466046
2019-03-01,151.0,27.211290322580645,17.17290322580645,22.19209677419355,73.86193548387098,16.50774193548387,34.33,0.7055217035698509
2019-04-01,140.0,24.859666666666666,17.017333333333333,20.938499999999998,81.29733333333334,17.916666666666668,74.16,0.47151644552456945
2019-05-01,199.0,24.747096774193547,17.029032258064515,20.88806451612903,81.79645161290323,17.92096774193548,103.11,0.45779193442208965
2019-06-01,102.0,24.551,16.351333333333333,20.451166666666666,80.07366666666667,18.46066666666667,160.13,0.48190319783255436
2019-07-01,45.0,25.731612903225805,15.301935483870968,20.516774193548386,73.41516129032257,19.476129032258065,190.15,0.6429409444290195
2019-08-01,250.0,26.694193548387098,16.19677419354839,21.445483870967745,72.47935483870968,19.98483870967742,117.16,0.707606035290331
2019-09-01,180.0,27.038,16.450666666666667,21.744333333333334,73.41933333333333,19.29366666666667,67.04,0.7084205777030349
2019-10-01,198.0,24.269354838709678,16.079677419354837,20.174516129032256,82.46935483870968,18.339032258064517,128.41,0.4188349408568915
2019-11-01,212.0,23.770333333333333,16.293,20.03166666666667,85.41266666666667,17.618333333333332,115.68,0.347928958087902
2019-12-01,85.0,25.070322580645165,16.255806451612905,20.66306451612903,79.98483870967742,17.29064516129032,149.92,0.49140475089849955
2020-01-01,154.0,25.878709677419355,15.088709677419354,20.483709677419355,76.03064516129032,19.635161290322582,144.46,0.5847329578260168
2020-02-01,156.0,27.906896551724138,15.78,21.84344827586207,69.51517241379311,20.624827586206898,93.83,0.8023820807678578
2020-03-01,245.0,26.15064516129032,16.216129032258063,21.18338709677419,76.63612903225807,18.949354838709677,145.48,0.5888819451108971
2020-04-01,206.0,26.621,16.78633333333333,21.703666666666667,76.33433333333333,18.288,97.24,0.6191001957283713
2020-05-01,88.0,28.51838709677419,17.423548387096773,22.970967741935485,70.86225806451613,18.875806451612902,57.63,0.8338435362704286
2020-06-01,69.0,27.829333333333334,16.038,21.933666666666667,69.43366666666667,18.165333333333333,49.28,0.8126681297543763
2020-07-01,105.0,27.84903225806452,15.703225806451613,21.776129032258066,69.41516129032257,18.50225806451613,28.93,0.801688566210877
2020-08-01,92.0,27.687096774193552,16.57225806451613,22.129677419354838,70.72064516129032,18.236129032258066,33.16,0.7886544367841998
2020-09-01,107.0,26.751666666666665,16.232333333333333,21.492,74.671,19.776,31.33,0.6538375327591431
